Serial Number,Song,Artist,Genres,Album,Duration,Album Label,Country,Streams
1," Pani Da Rang Male (From ""Vicky Donor"")",Ayushmann Khurrana,World/Traditional,Vicky Donor,04:00,Eros Music,India,
2, Channa Mereya,"Pritam,Arijit Singh",World/Traditional,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack),04:49,Sony Music Entertainment India Pvt. Ltd.,India,
3, Chand Sifarish,"Jatin-Lalit,Shaan,Kailash Kher,Prasoon Joshi","Pop, World/Traditional, Hip Hop",Fanaa,04:35,YRF Music,India,
4, Yeh Fitoor Mera,Arijit Singh,World/Traditional,Fitoor,04:43,Zee Music Company,India,
5," Galliyan (From ""Ek Villain"")",Ankit Tiwari,World/Traditional,Best Of Shraddha Kapoor,05:40,T-Series,India,
6, Samjhawan,"Jawad Ahmad,Shaarib Toshi,Arijit Singh,Shreya Ghoshal",World/Traditional,Samjhawan,04:29,Sony Music Entertainment India Pvt. Ltd.,India,
7, Banjaara,Mohammed Irfan,World/Traditional,Ek Villain,05:36,T-Series,India,
8, Zaroorat,Mustafa Zahid,"Hip Hop, World/Traditional",Ek Villain,06:08,T-Series,India,
9, Kabhii Tumhhe,"Javed-Mohsin,Darshan Raval",World/Traditional,Shershaah (Original Motion Picture Soundtrack),03:50,Sony Music Entertainment India Pvt. Ltd.,India,
10," Pachtaoge (From ""Jaani Ve"")","Arijit Singh,B Praak","World/Traditional, Hip Hop","Pachtaoge (From ""Jaani Ve"")",03:46,T-Series,India,
11, Kabhi Kabhi Aditi,Rashid Ali,World/Traditional,Jaane Tu... Ya Jaane Na,03:38,T-Series,India,
12, Barso,Ritviz,"Hip Hop, World/Traditional, Rock, Dance/Electronic",Barso,04:17,Ritviz,India,
13, Sunn Raha Hai,Ankit Tiwari,World/Traditional,Aashiqui 2,06:30,T-Series,India,
14, Pasoori,"Shae Gill,Ali Sethi",World/Traditional,Pasoori,03:44,Giraffe Pakistan,India,
15, Sooraj Dooba Hain,"Arijit Singh,Aditi Singh Sharma",World/Traditional,Roy,04:24,T-Series,India,
16, Nashe Si Chadh Gayi,"Arijit Singh,Caralisa Monteiro",World/Traditional,Best of Arijit Singh,03:58,YRF Music,India,
17," Tum Hi Ho (From ""Aashiqui 2"")",Arijit Singh,World/Traditional,Loveholic Arijit Singh,04:21,T-Series,India,
18, Chahun Main Ya Naa,"Palak Muchhal,Arijit Singh",World/Traditional,Aashiqui 2,05:04,T-Series,India,
19," Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik,Arijit Singh",World/Traditional,Love Forever With Arijit Singh,05:41,T-Series,India,
20, Pal,"Javed-Mohsin,Arijit Singh,Shreya Ghoshal",World/Traditional,Pal,04:07,Sony Music Entertainment India Pvt. Ltd.,India,
21, Hope,XXXTENTACION,Hip Hop,?,01:50,"Bad Vibes Forever, LLC",USA,
22, Jocelyn Flores,XXXTENTACION,Hip Hop,17,01:59,Bad Vibes Forever / EMPIRE,USA,
23, SAD!,XXXTENTACION,Hip Hop,?,02:46,"Bad Vibes Forever, LLC",USA,
24, Everybody Dies In Their Nightmares,XXXTENTACION,Hip Hop,17,01:35,Bad Vibes Forever / EMPIRE,USA,
25, Revenge,XXXTENTACION,Hip Hop,17,02:00,Bad Vibes Forever / EMPIRE,USA,
26, Moonlight,XXXTENTACION,Hip Hop,?,02:15,"Bad Vibes Forever, LLC",USA,
27, the remedy for a broken heart (why am I so in love),XXXTENTACION,Hip Hop,?,02:40,"Bad Vibes Forever, LLC",USA,
28, Falling Down - Bonus Track,"Lil Peep,XXXTENTACION",Hip Hop,"Come Over When You're Sober, Pt. 2",03:16,Columbia,USA,
29, Famous,"Sidhu Moose Wala,Intense","Hip Hop, World/Traditional",Famous,04:09,Lavish Squad Entertainment,India,
30, East Side Flow,Sidhu Moose Wala,"Hip Hop, World/Traditional",East Side Flow,03:44,Juke Dock,India,
31, Jaat Da Muqabala,Sidhu Moose Wala,"Hip Hop, World/Traditional",Pbx 1,03:24,T-Series,India,
32, Same Beef,"Bohemia,Sidhu Moose Wala","Hip Hop, World/Traditional",Same Beef,04:50,Saga Music,India,
33, Old Skool,"Prem Dhillon Ft. Sidhu Moosewala,Naseeb",,Old Skool,04:13,Sky Digital-Sidhu Moosewala,India,
34, Dhakka,"Sidhu Moose Wala,Afsana Khan","Hip Hop, World/Traditional",Dhakka,04:06,Sidhu Moosewala,India,
35, B-Town (feat. Sunny Malton),"Sidhu Moose Wala,Sunny Malton","Hip Hop, World/Traditional",B-Town (feat. Sunny Malton),03:02,Sony Music Entertainment India Pvt. Ltd.,India,
36, Confession Is Not Flashy,KYUHYUN,Pop,"HOSPITAL PLAYLIST (Original Television Soundtrack), Pt. 4",03:48,"Genie Music Corporation, Stone Music Entertainment",South Korea,
37, Beyond the Rainbow Forest,Park Hyuck Jin,Pop,"HOSPITAL PLAYLIST (Original Television Soundtrack), Pt. 10",04:30,"Genie Music Corporation, Stone Music Entertainment",South Korea,
38, Lonely Night,Kwon Jin Ah,Pop,"HOSPITAL PLAYLIST (Original Television Soundtrack), Pt. 1",04:02,"Genie Music Corporation, Stone Music Entertainment",South Korea,
39, Baaraat,"Ritviz,Nucleya","Hip Hop, World/Traditional, Rock, Dance/Electronic",Baaraat,03:42,Ritviz & Nucleya,India,
40, Sun Toh,Ritviz,"Hip Hop, World/Traditional, Rock, Dance/Electronic",Mismatched (Music from the Netflix Original Series),02:54,"Maisie Music Publishing, LLC",India,
41, Без тебя я не я,"JONY,HammAli & Navai","Dance/Electronic, Hip Hop, Pop",Список твоих мыслей,03:20,Atlantic Records Russia (Distribution),Russia,
42, Apocalypse,Cigarettes After Sex,"New age, Rock, Country",Cigarettes After Sex,04:50,Partisan Records,,
43, Малышка,"Sharlot,MORGENSHTERN","Dance/Electronic, Hip Hop, Latin",Малышка,02:32,Rhino/IRI,,
44, 外灯とアパート,鉄風東京,,Nokosu,04:11,TEPPU TOKYO,Japan,
45, Doobey,"OAFF,Savera,Lothika,Kausar Munir","World/Traditional, Rock",Gehraiyaan (Original Motion Picture Soundtrack),03:39,Sony Music Entertainment India Pvt. Ltd.,India,
46, Chaand Baaliyan,Aditya A,Rock,Chaand Baaliyan,01:43,Sony Music Entertainment India Pvt. Ltd.,India,
47, Udd Gaye,Ritviz,"Hip Hop, World/Traditional, Rock, Dance/Electronic",Ved,03:00,Ritviz,India,
48, Kasoor,Prateek Kuhad,"World/Traditional, Folk/Acoustic, Rock",Kasoor,03:17,Prateek Kuhad,India,
49, Excuses,"AP Dhillon,Gurinder Gill,Intense","Hip Hop, World/Traditional",Excuses,02:56,RUN-UP RECORDS,India,
50, 3 Peg,"Sharry Mann,Mista Baaz","World/Traditional, Hip Hop",3 Peg,03:24,T-Series,India,
51, The A Team,Ed Sheeran,Pop,+,04:18,Atlantic Records UK,,
52, I'll Keep Coming,Low Roar,Classical,0,05:52,Tonequake Records,USA,
53, Start Again (feat. Logic),"OneRepublic,Logic","Hip Hop, Pop",13 Reasons Why (Season 2),02:45,UMGRI Interscope,India,
54, Dragon Breath,OGRE Sound,"Metal, Pop",195,01:42,OGRE Sound,India,
55, Snowman,WYS,,1 Am. Study Session,03:15,ChilledCow Records,India,
56, Wool Gloves,imagiro,Dance/Electronic,1 Am. Study Session,02:45,ChilledCow Records,India,
57, Still D.R.E.,"Dr. Dre,Snoop Dogg",Hip Hop,2001,04:30,Aftermath,India,
58, 24K Magic,Bruno Mars,Pop,24K Magic,03:45,Atlantic Records,India,
59, That's What I Like,Bruno Mars,Pop,24K Magic,03:26,Atlantic Records,India,
60, Versace on the Floor,Bruno Mars,Pop,24K Magic,04:21,Atlantic Records,India,
61, Hall of Fame (feat. will.i.am),"The Script,will.i.am","World/Traditional, Pop, Rock, Folk/Acoustic, Hip Hop",#3 Deluxe Version,03:22,Epic/Phonogenic,India,
62, Old Town Road - Remix,"Lil Nas X,Billy Ray Cyrus","Country, Hip Hop, Pop",7 EP,02:37,Columbia,India,
63, Heartless,Kanye West,Hip Hop,808s & Heartbreak,03:31,Roc-A-Fella,India,
